And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
When the sailors mutinied at sea in a demand for humane conditions, it was these teenagers that fed the crew.	Als die Matrosen auf See mit der Forderung nach humanen Bedingungen meuterten , waren es diese Jugendlichen , die die Crew mit Essen versorgten .
I was past 40 when my father died.	Ich war über 40 , als mein Vater starb .
He never mentioned that journey.	Er hat diese Reise nie erwähnt .
My mother's mother left Europe in a hurry without her husband, but with her three-year-old daughter and diamonds sewn into the hem of her skirt.	Die Mutter meiner Mutter verließ in Eile Europa , ohne ihren Mann , aber mit ihrer dreijährigen Tochter und Diamanten , die in den Rocksaum eingenäht waren .
After two years in hiding, my grandfather appeared in London.	Nach zwei Jahren im Versteck erschien mein Großvater in London .
He was never right again.	Er wurde nie wieder in Ordnung .
And his story was hushed as he assimilated.	Und seine Geschichte verstummt , als er sich integrierte .
My story started in England with a clean slate and the silence of immigrant parents.	Meine Geschichte begann in England , ein Neuanfang mit dem Schweigen der eingewanderten Eltern .
I had "Anne Frank," "The Great Escape," "Shoah," "Triumph of the Will."	Ich hatte "Anne Frank" , "The Great Escape" , "Shoah" , "Triumph des Willens" .
It was Leni Riefenstahl in her elegant Nazi propaganda who gave context to what the family had to endure.	Es war Leni Riefenstahl mit ihrer eleganten Nazi-Propaganda , die dem , was meine Familie erleben musste , einen Kontext gab .
These films held what was too hurtful to say out loud, and they became more useful to me than the whispers of survivors and the occasional glimpse of a tattoo on a maiden aunt's wrist.	Diese Filme enthielten das , was zu sehr schmerzte um es laut zu sagen , und sie wurden für mich nützlicher als das Flüstern der Überlebenden und den gelegentlichen Blick auf ein Tattoo auf dem Handgelenk meiner altjüngferlichen Tante .
Purists may feel that fiction dissipates the quest of real human understanding, that film is too crude to tell a complex and detailed history, or that filmmakers always serve drama over truth.	Puristen denken vielleicht , dass Fiktion die Suche nach echtem menschlichen Verständnis zerstreut , dass Film zu grob ist , um eine komplexe und detaillierte Geschichte erzählen , oder dass Filmemacher immer Drama über die Wahrheit stellen .
But within the reels lie purpose and meaning.	Aber Filmrollen enthalten Zweck und Bedeutung .
As one 12-year-old said after watching "Wizard of Oz," "Every person should watch this, because unless you do you may not know that you too have a heart."	Ein 12-Jähriger sagte nach dem Sehen von "Der Zauberer von Oz": "Jeder Mensch sollte das sehen , denn wenn das nicht tun , wissen sie vielleicht nicht , dass sie auch ein Herz haben ."
We honor reading, why not honor watching with the same passion?	Warum honorieren wir das Sehen nicht mit der gleichen Leidenschaft wie das Lesen ?
Consider "Citizen Kane" as valuable as Jane Austen.	"Citizen Kane" sollte so wertvoll sein wie Jane Austen .
Agree that "Boyz n the Hood," like Tennyson, offers an emotional landscape and a heightened understanding that work together.	Stimmen Sie zu , dass "Boyz n the Hood" wie Tennyson eine emotionale Landschaft und ein erhöhtes Verständnis bietet , die zusammenarbeiten .
Each a piece of memorable art, each a brick in the wall of who we are.	Jedes ein Stück denkwürdiger Kunst , jedes ein Stein in der Wand , die uns ausmacht .
And it's okay if we remember Tom Hanks better than astronaut Jim Lovell or have Ben Kingsley's face superimposed onto that of Gandhi's.	Und es ist okay , wenn wir uns besser an Tom Hanks erinnern als an den Astronauten Jim Lovell oder Ben Kingsleys Gesicht das von Gandhi überlagert .
And though not real, Eve Harrington, Howard Beale, Mildred Pierce are an opportunity to discover what it is to be human, and no less helpful to understanding our life and times as Shakespeare is in illuminating the world of Elizabethan England.	Und obwohl nicht real , bieten Eve Harrington , Howard Beale , Mildred Pierce die Gelegenheit zu entdecken , was Menschsein bedeutet . Sie sind genau so hilfreich für das Verständnis unseres Lebens und unserer Zeit wie Shakespeare es ist im Beleuchten der Welt des elisabethanischen Englands .
We guessed that film, whose stories are a meeting place of drama, music, literature and human experience, would engage and inspire the young people participating in FILMCLUB.	Wir ahnten , dass Film , dessen Geschichten ein Ort der Begegnung von Theater , Musik , Literatur und menschlicher Erfahrung sind , junge Teilnehmer am FILMCLUB engagieren und inspirieren würde .
What we could not have foreseen was the measurable improvements in behavior, confidence and academic achievement.	Wir konnten aber nicht die messbaren Verbesserungen im Verhalten , im Selbstvertrauen und in der akademischen Leistung vorhersehen .
Once-reluctant students now race to school, talk to their teachers, fight, not on the playground, but to choose next week's film -- young people who have found self-definition, ambition and an appetite for education and social engagement from the stories they have witnessed.	Ehemals zurückhaltende Schüler rennen nun zur Schule , sprechen mit ihren Lehrern , kämpfen , nicht auf dem Spielplatz , sondern um den Film für nächste Woche zu wählen – junge Menschen haben sich selbst , Ehrgeiz , Lust auf Bildung und soziales Engagement gefunden , aus den Geschichten , die sie erlebt haben .
Our members defy the binary description of how we so often describe our young.	Unsere Mitglieder trotzen der binären Beschreibung , mit der wir so oft unsere Kinder beschreiben .
They are neither feral nor myopically self-absorbed.	Sie sind weder wild noch nur mit sich selbst beschäftigt .
They are, like other young people, negotiating a world with infinite choice, but little culture of how to find meaningful experience.	Sie sind wie andere jungen Menschen , sie verhandeln über eine Welt mit unendlicher Auswahl , aber wenig Ahnung , wie man sinnstiftende Erfahrungen findet .
We appeared surprised at the behaviors of those who define themselves by the size of the tick on their shoes, yet acquisition has been the narrative we have offered.	Wir schienen überrascht über die Verhaltensweisen , von denen , die sich über die Marke ihrer Schuhe definieren , doch war Konsum die Geschichte , die wir angeboten hatten .
If we want different values we have to tell a different story, a story that understands that an individual narrative is an essential component of a person's identity, that a collective narrative is an essential component of a cultural identity, and without it it is impossible to imagine yourself as part of a group.	Wenn wir andere Werte haben wollen , müssen wir eine andere Geschichte erzählen , eine Geschichte , die versteht , dass eine persönliche Erzählung ein wesentlicher Bestandteil der Identität einer Person ist . Eine kollektive Erzählung ist ein wesentlicher Bestandteil einer kulturellen Identität , und ohne sie ist es unmöglich , sich als Teil einer Gruppe vorzustellen .
Because when these people get home after a screening of "Rear Window" and raise their gaze to the building next door, they have the tools to wonder who, apart from them, is out there and what is their story.	Denn wenn diese Menschen nach einer Vorführung von "Das Fenster zum Hof" nach Hause kommen und ihren Blick auf das Gebäude nebenan richten , haben sie die Mittel zu fragen , wer außer ihnen noch da draußen ist und was ihre Geschichte ist .
Thank you.	Vielen Dank .
Thank you.	Pfeifen Danke schön .
Thank you very much.	Vielen Dank .
That was whistling.	So kann Pfeifen klingen .
I'm trying to do this in English.	Ich werde versuchen , Englisch zu sprechen .
What is a chubby, curly-haired guy from Holland -- why is he whistling?	Was macht ein molliger , kraushaariger Typ aus Holland – was hat so jemand wie mich dazu gebracht , zu Pfeifen ?
Well actually, I've [been] whistling since the age of four, about four.	Nun , ich pfeife eigentlich seit ich vier bin - so ungefähr seitdem .
My dad was always whistling around the house, and I just thought that's part of communication in my family.	Mein Vater hat immer im Haus herum gepfiffen , und ich dachte immer , das ist in meiner Familie so eine Art Kommunikationsform .
So I whistled along with him.	Also hab ich mit ihm gepfiffen .
And actually, till I was 34, I always annoyed and irritated people with whistling, because, to be honest, my whistling is a kind of deviant behavior.	Und erst mit 34 Jahren , hab ich andere Menschen mit meiner Pfeiferei verägert und irritiert . Denn , um ehrlich zu sein , mein Pfeifen ist eine Art Verhaltensauffälligkeit .
And I also whistled at a Christmas Eve party with my family-in-law.	Und ich hab auch am Heiligen Abend bei der Familie meiner Frau gepfiffen .
And they had some, in my opinion, terrible Christmas music.	Die meiner Meinung nach grauenvolle Weihnachtsmusik hörten .
And when I hear music that I don't like, I try to make it better.	Und wenn ich Musik höre , die ich nicht mag , versuche ich sie zu verbessern .
So "Rudolph the Red-Nosed Reindeer" -- you know it?	Also: "Rudolph the Red-nosed Reindeer" – kennen Sie das ?
But it can also sound like this.	Aber es kann auch so klingen .
But during a Christmas party -- at dinner actually -- it's very annoying.	Aber bei einer Weihnachtsfeier – inbesondere beim Abendessen – kann das schon nerven .
